City,Domain,User,Stars,Feedback,Date
Montpellier,tam-voyages.com,Holafly SL,1,,2021-08-12T14:32:20.000Z
Marseille,rtm.fr,Houhou,1,,2021-08-24T17:26:35.000Z
Lille,ilevia.fr,Houriez,1,,2021-08-25T13:21:45.000Z
Nice,lignesdazur.com,HS,0,Dimanche 1er Juin,2019-06-01T10:44:16.000Z
Lille,ilevia.fr,Hugo miko,2,,2021-08-04T10:46:32.000Z
Paris,iledefrance-mobilites.fr,HÉ,0,SAV aux abonnés absents,2019-11-13T14:39:06.000Z
Lille,ilevia.fr,Héloïse Lannoy,1,,2021-11-18T09:21:02.000Z
Montpellier,tam-voyages.com,Hélène,2,,2020-07-18T14:38:59.000Z
Paris,ratp.fr,Ibrahim merzouki,1,,2022-01-26T10:03:37.000Z
Paris,iledefrance-mobilites.fr,Idir Hasni,0,"Controle la première heure, le premier jour du mois dans un car avant d'avoir arriver a la gare pour rechargè le navigo",2019-12-01T15:07:14.000Z
Lyon,tcl.fr,IG,0,Mauvaise journée qui commence…,2019-11-12T08:55:04.000Z
Paris,ratp.fr,IK,0,,2019-03-18T15:33:00.000Z
Paris,ratp.fr,IM,0,Mon avis concerne la ligne 258 en…,2026-01-26T10:03:37.000Z
Marseille,rtm.fr,India,0,La ligne de bus que j’empreinte chaque…,2019-09-17T08:01:22.000Z
Lille,ilevia.fr,Ines Bk,1,,2021-06-24T17:44:17.000Z
Nice,lignesdazur.com,Inès AL Touati,0,Je suis très insatisfaite de la qualité…,2019-08-19T09:05:30.000Z
Lyon,tcl.fr,Inès Gbaoui,1,,2021-11-12T08:55:04.000Z
Lille,ilevia.fr,irène le bourhis,5,,2021-12-02T23:49:46.000Z
Paris,iledefrance-mobilites.fr,IS,0,Comment au 21eme siècle avoir encore…,2026-01-01T18:40:40.000Z
Paris,iledefrance-mobilites.fr,isabelle,1,,2022-01-01T18:40:40.000Z
Paris,iledefrance-mobilites.fr,Izy Khol,0,"Renseignements, un désastre !",2026-01-07T07:33:01.000Z
Paris,ratp.fr,Jacques BILLE,2,,2022-01-02T13:12:30.000Z
Nice,lignesdazur.com,Jacques Potard,0,AMENDE ABUSIVE LIGNE D'AZUR,2019-09-22T11:11:57.000Z
Marseille,rtm.fr,Jade Sarrut,0,Mon conjoint rentre dans le bus tends…,2019-06-04T16:59:59.000Z
Montpellier,tam-voyages.com,Jappa Jappa,1,,2021-11-03T22:27:03.000Z
Lille,ilevia.fr,Jason,1,,2021-09-29T10:19:21.000Z
Paris,ratp.fr,JB,0,Pass navigo,2026-01-02T13:12:30.000Z
Lyon,tcl.fr,JC,0,,2019-04-08T08:48:38.000Z
Paris,iledefrance-mobilites.fr,JE,0,"Plein de beugs , à revoir",2026-01-11T14:47:34.000Z
Montpellier,tam-voyages.com,je p,1,,2021-02-18T12:19:32.000Z
Lyon,tcl.fr,je_tu_elle,1,,2021-09-23T10:11:54.000Z
Paris,iledefrance-mobilites.fr,Jean,1,,2022-01-11T14:47:34.000Z
Lyon,tcl.fr,Jean Luc,0,Tout pour faire des sous,2019-10-21T18:17:57.000Z
Paris,ratp.fr,Jean Luc TERRIER,0,Bel Air sercice du matin,2019-12-04T09:32:21.000Z
Bordeaux,infotbm.com,Jean Noel,1,,2021-10-04T18:44:19.000Z
Lyon,tcl.fr,Jean PAUL,1,,2022-01-26T16:10:12.000Z
Paris,iledefrance-mobilites.fr,Jean-Claude Joyeux,0,,2019-10-01T08:02:05.000Z
Marseille,rtm.fr,Jean-Jacques,1,,2021-10-24T06:12:25.000Z
Paris,ratp.fr,Jean-Luc Borg,0,Le bus 159 nous abandonne au milieu du trajet,2019-12-21T21:44:21.000Z
Nice,lignesdazur.com,Jean-Luc Gonzales,0,chauffeur dangereux,2019-02-17T17:18:39.000Z
Paris,iledefrance-mobilites.fr,jean-marc Hidier,0,De quel esprit tordu est sorti cette…,2026-01-12T13:01:25.000Z
Montpellier,tam-voyages.com,Jean-Philippe François,1,,2020-02-15T18:29:12.000Z
Paris,iledefrance-mobilites.fr,Jean-Philippe Lagrange,0,Système dysfonctionnel et bureaucratie soviétique,2019-12-10T15:41:56.000Z
Marseille,rtm.fr,Jenny Mc fly,0,Degueulasse,2019-06-02T08:55:55.000Z
Paris,iledefrance-mobilites.fr,JEROME AGOUTIN,1,,2021-10-28T19:51:18.000Z
Paris,ratp.fr,Jessie,0,,2019-10-14T16:29:57.000Z
Lyon,tcl.fr,JM,0,,2019-03-17T20:25:27.000Z
Paris,iledefrance-mobilites.fr,JO,0,Des voleurs,2019-12-10T17:06:55.000Z
Lille,ilevia.fr,jo “Jo” S,1,,2021-03-12T21:11:52.000Z
Montpellier,tam-voyages.com,Jocelyne Bloncourt,5,,2021-03-01T22:54:24.000Z
Marseille,rtm.fr,JOELLE,1,,2021-11-03T07:51:15.000Z
Paris,iledefrance-mobilites.fr,Joh,1,,2021-12-10T17:06:55.000Z
Marseille,rtm.fr,JOJO DJODJO,1,,2021-04-26T13:53:17.000Z
Paris,ratp.fr,Joker,0,Tramway T10 Croix de Berny,2019-12-15T17:56:42.000Z
Montpellier,tam-voyages.com,Joseph,1,,2020-11-26T09:15:37.000Z
Paris,iledefrance-mobilites.fr,josiane Desaphy,0,Usine à gaz… mais à fric aussi,2026-01-12T16:46:51.000Z
Lyon,tcl.fr,JP,0,Arnaque,2026-01-26T16:10:12.000Z
Paris,ratp.fr,JU,0,17h45,2026-01-05T18:45:40.000Z
Paris,iledefrance-mobilites.fr,Jules,0,Société aux pratiques frauduleuses,2019-12-08T17:54:38.000Z
Paris,iledefrance-mobilites.fr,Julien,0,Ce système est médiocre pour un…,2019-12-19T14:43:50.000Z
Paris,ratp.fr,JéjéP,0,Attente dans un froid glacial,2026-01-11T10:37:35.000Z
Paris,iledefrance-mobilites.fr,Jéremy Fabre,0,en 2026 pour souscrire un abonnement…,2026-01-26T20:05:39.000Z
Nice,lignesdazur.com,Jérôme Bph,0,La honte des tickets de l’aéroport,2019-05-18T15:57:57.000Z
Paris,ratp.fr,KA,0,Fuyez l’Île-de-France,2019-11-20T09:53:05.000Z
Nice,lignesdazur.com,KADIATOU BARRY,0,La ligne T1 était retarder ce dimanche…,2019-11-10T17:58:05.000Z
Lyon,tcl.fr,Kadour TABBECH,0,Applie jamais à jour,2026-01-18T21:44:59.000Z
Paris,iledefrance-mobilites.fr,Kalos Nora,0,Je tenais à laisser ce message afin de…,2019-12-28T11:45:21.000Z
Paris,ratp.fr,Kamel Fanoui,1,,2021-11-21T16:09:20.000Z
Montpellier,tam-voyages.com,KARIM BUMEDIEN,1,,2021-03-25T21:23:56.000Z
Paris,ratp.fr,Karima Ahamada,1,,2021-11-20T09:53:05.000Z
Lyon,tcl.fr,karine bescond,1,,2021-12-20T00:56:06.000Z
Paris,ratp.fr,Karine Rouille,0,,2019-08-20T14:32:46.000Z
Lyon,tcl.fr,karolina Ostrowska,1,,2022-01-24T16:16:04.000Z
Nice,lignesdazur.com,kathleen stillitano,0,Ligne 620 chauffeuse blonde à lunette à…,2019-10-09T08:40:01.000Z
Paris,ratp.fr,Katia kc,0,"Bonjour,",2019-11-18T08:48:17.000Z
Marseille,rtm.fr,Katty,1,,2021-10-21T07:41:13.000Z
Lyon,tcl.fr,KB,0,TCL Téléviseur QLED 55'' 140 cm 55P71K,2019-12-20T00:56:06.000Z
Marseille,rtm.fr,KE,0,Je signale qu’une porte automatique du…,2019-10-28T12:20:49.000Z
Marseille,rtm.fr,Kelian,1,,2021-10-28T12:20:49.000Z
Paris,ratp.fr,KeraToss-_-,0,Ils m’ont carotte 5 balles,2026-01-17T21:26:23.000Z
Paris,ratp.fr,Kevin Lacomblez,0,Scandaleux,2026-01-25T15:26:25.000Z
Paris,ratp.fr,KF,0,C’est du grand n’importe quoi,2019-11-21T16:09:20.000Z
Lille,ilevia.fr,kiku li,1,,2021-11-17T10:25:04.000Z
Marseille,rtm.fr,King K,0,Je mets une seule étoile parce que…,2019-10-20T08:33:34.000Z
Paris,ratp.fr,KO,0,Service Client très nulle depuis…,2026-01-11T14:45:43.000Z
Paris,iledefrance-mobilites.fr,kouakou armel marius koffi,0,,2019-08-31T08:27:45.000Z
Paris,ratp.fr,Kouyate,1,,2022-01-11T14:45:43.000Z
Lyon,tcl.fr,Kuppoh Default,0,Metro non disponible,2019-11-17T18:14:04.000Z
Lille,ilevia.fr,L'Auberge du Chat,1,,2021-07-09T12:18:22.000Z
Paris,ratp.fr,LA,0,Du pur vol,2026-01-25T19:04:40.000Z
Paris,ratp.fr,Laetitia Caty,1,,2022-01-29T19:44:31.000Z
Montpellier,tam-voyages.com,Lambda,1,,2020-07-16T09:08:30.000Z
Lyon,tcl.fr,Lamia NOUAIRI,1,,2021-11-30T11:06:47.000Z
Marseille,rtm.fr,Lamine Hamlaoui,0,,2019-05-02T13:22:43.000Z
Marseille,rtm.fr,laridi,1,,2021-01-27T09:33:36.000Z
Paris,ratp.fr,Laura,1,,2022-01-25T19:04:40.000Z
Montpellier,tam-voyages.com,Laura Menetrieux,1,,2021-04-16T17:57:14.000Z
Montpellier,tam-voyages.com,Laurence Artaud,1,,2019-12-21T18:54:06.000Z
Paris,ratp.fr,Laurence Richard,1,,2021-12-06T02:23:43.000Z
Lille,ilevia.fr,Laurent Drouart,1,,2021-08-29T05:44:28.000Z
Marseille,rtm.fr,laurie,1,,2021-12-30T21:57:10.000Z
Paris,ratp.fr,LC,0,Un vrai scandale,2026-01-29T19:44:31.000Z
Paris,iledefrance-mobilites.fr,LD,0,Service de transports en commun…,2019-12-25T21:50:09.000Z
Lyon,tcl.fr,LE,0,Le bus attend et pars juste devant moi…,2026-01-06T08:02:09.000Z
Montpellier,tam-voyages.com,LE NEUE,2,,2021-07-17T15:40:01.000Z
Lille,ilevia.fr,Lea Vercampt,1,,2021-10-07T08:46:36.000Z
Nice,lignesdazur.com,Leana Bignolet,0,Je ne conseil pas,2019-08-13T15:39:54.000Z
Paris,ratp.fr,Leena M,0,NUL un service vraiment nul,2019-12-06T13:18:07.000Z
Lille,ilevia.fr,Lemahieu,1,,2021-07-17T09:40:04.000Z
Nice,lignesdazur.com,Lena Gauthier,1,,2021-02-09T19:14:22.000Z
Lyon,tcl.fr,Lenon,1,,2022-01-06T08:02:09.000Z
Lille,ilevia.fr,Leo Heulers,1,,2022-01-05T14:09:00.000Z
Nice,lignesdazur.com,LG,0,À FUIR si vous tenez à votre vie,2019-02-09T19:14:22.000Z
Marseille,rtm.fr,LH,0,Cette avis es pour Nicolas agent du…,2019-06-04T10:44:29.000Z
Nice,lignesdazur.com,LI,0,Chauffeur désagréable,2019-07-03T16:50:51.000Z
Lyon,tcl.fr,life las,0,remplacer les TCL d'urgence,2019-10-06T18:52:40.000Z
Bordeaux,infotbm.com,Lili,1,,2021-09-27T11:12:49.000Z
Montpellier,tam-voyages.com,Lilly Mars,1,,2021-09-22T10:45:24.000Z
Marseille,rtm.fr,Lilou Carvalho,0,Je ne comprends pas comment un lieu…,2019-06-23T00:20:29.000Z
Nice,lignesdazur.com,lilou Lilourouvellat,1,,2021-06-05T14:13:33.000Z
Lyon,tcl.fr,Lina Braunschweig,0,Itinéraires délirants et vélo imposés,2019-10-10T12:07:36.000Z
Marseille,rtm.fr,Lina Hanzaz,5,,2021-06-04T10:44:29.000Z
Nice,lignesdazur.com,linlin,1,,2021-07-03T16:50:51.000Z
Montpellier,tam-voyages.com,Lise Terrebian,5,,2020-07-20T20:49:15.000Z
Nice,lignesdazur.com,LL,0,J'en ai marre des bus qui passe en…,2019-06-05T14:13:33.000Z
Lyon,tcl.fr,LN,0,En a constaté que ce mois-ci le le bus qui ne vient jamais !!!!!!!!bus…,2019-11-30T11:06:47.000Z
Paris,ratp.fr,LO,0,La ratp n’apprécie pas qu’un usager…,2019-12-13T10:11:52.000Z
Marseille,rtm.fr,Loic Lagadec,0,Catastrophe,2019-12-17T14:19:45.000Z
Lyon,tcl.fr,Lola Raz,0,TCL : une injustice sociale,2019-12-03T23:19:50.000Z
Lyon,tcl.fr,Lolo,1,,2021-10-18T17:50:27.000Z
Lyon,tcl.fr,Loly,0,C15 :,2019-10-07T08:34:44.000Z
Montpellier,tam-voyages.com,Lou,1,,2021-05-14T09:14:09.000Z
Paris,iledefrance-mobilites.fr,Lou demirli,1,,2021-12-25T21:50:09.000Z
Paris,ratp.fr,Louisa,1,,2021-12-13T10:11:52.000Z
Paris,ratp.fr,LR,0,Amende malgré validation de la carte,2019-12-06T02:23:43.000Z
Nice,lignesdazur.com,LRN BUDR,0,Le bus 90,2019-02-21T08:13:19.000Z
Marseille,rtm.fr,LU,0,Le pire réseau de transport de France…,2019-09-09T18:18:17.000Z
Nice,lignesdazur.com,Lua C,0,Ligne de tramway…,2019-09-17T08:24:54.000Z
Paris,iledefrance-mobilites.fr,Lucie Lu,0,Service non fiable et pas du tout…,2019-11-14T15:23:07.000Z
Lille,ilevia.fr,Lucie Lucie,1,,2021-12-26T20:13:44.000Z
Montpellier,tam-voyages.com,Lucie Raymond,1,,2020-04-02T15:51:15.000Z
Marseille,rtm.fr,Lucquiaud,1,,2021-09-09T18:18:17.000Z
Paris,ratp.fr,Lylia Hamrene,0,Je trouve sa haberant,2026-01-29T15:51:07.000Z
Paris,ratp.fr,LZ,0,,2019-06-19T15:44:46.000Z
Marseille,rtm.fr,Léa Baldoureaux Lemaire,0,Y’a t’il un jour ou les bus de la RTM…,2019-06-28T09:27:44.000Z
Bordeaux,infotbm.com,Léa estelle Lagueu,1,,2021-12-04T17:12:21.000Z
Marseille,rtm.fr,Léa Gariglio,0,,2019-03-07T04:15:40.000Z
Lille,ilevia.fr,Léo glpi,1,,2021-09-01T08:47:36.000Z
Paris,ratp.fr,M L,0,,2019-10-23T20:48:41.000Z
Paris,iledefrance-mobilites.fr,M. ZOULALYAN sirun,1,,2021-12-09T12:25:02.000Z
Paris,ratp.fr,MA,0,Très mauvaise expérience,2019-11-27T10:30:08.000Z
Lyon,tcl.fr,Madame Julia CHAMPEIL,0,Pas de cerveaux,2019-11-26T10:07:44.000Z
Lyon,tcl.fr,Madame karen Vial,1,,2021-10-15T09:47:43.000Z
Lille,ilevia.fr,Madameb.off,1,,2021-12-16T08:52:52.000Z
Marseille,rtm.fr,MAHEFLORE,1,,2021-04-04T18:27:47.000Z
Paris,iledefrance-mobilites.fr,Mam Zelle,0,Où est le service au public ?,2019-10-30T15:36:12.000Z
Paris,ratp.fr,man moh,0,Encore une fois la RATP désinnove,2026-01-16T09:44:08.000Z
Marseille,rtm.fr,Manu Ciao,0,C'est tous les jours la même chose,2019-10-08T18:03:53.000Z
Marseille,rtm.fr,MaOw MaOw,0,On paye un service qui ne serre a rien…,2019-06-24T15:34:43.000Z
Lille,ilevia.fr,Margaux Evezard,1,,2021-10-28T17:15:20.000Z
Montpellier,tam-voyages.com,MARIA,1,,2020-07-03T09:48:37.000Z
Paris,ratp.fr,Mariame Condé,0,Bus 249 il vient à chaque 2h c’est…,2026-01-15T09:31:57.000Z
Montpellier,tam-voyages.com,Marie Briand,1,,2021-01-31T15:08:30.000Z
Montpellier,tam-voyages.com,Marie Céline CATARINA,2,,2020-09-23T17:06:09.000Z
Nice,lignesdazur.com,marie dumont,0,Honte au chauffeur du bus Isola…,2019-04-23T00:16:25.000Z
Montpellier,tam-voyages.com,MARIE GRAZIANI,5,,2020-01-31T18:27:40.000Z
Lille,ilevia.fr,Marie Jean,1,,2021-07-11T07:01:53.000Z
Lille,ilevia.fr,Marie Monique,1,,2021-02-16T09:27:21.000Z
Paris,ratp.fr,marie-claire brard,0,Les transports en ile de France sont de…,2026-01-09T08:26:21.000Z
Marseille,rtm.fr,marie-jeanne Hartmann,0,Décaler bus 24 et 48 à partir de la Rouviere,2026-01-25T12:13:46.000Z
Paris,ratp.fr,MarieAlixF,1,,2021-11-27T10:30:08.000Z
Paris,iledefrance-mobilites.fr,Marilyne HELCK,5,,2021-12-19T21:23:21.000Z
Lyon,tcl.fr,Marion F,1,,2021-11-30T23:37:01.000Z
Marseille,rtm.fr,Marouane,1,,2021-06-10T14:24:55.000Z
Montpellier,tam-voyages.com,marti,1,,2019-12-16T15:46:33.000Z
Paris,iledefrance-mobilites.fr,Martibne Drl,0,Je comprends pas,2019-12-09T15:19:13.000Z
Lille,ilevia.fr,Martin,1,,2021-04-05T18:16:30.000Z
Paris,iledefrance-mobilites.fr,MARTIN Aline,0,,2019-08-19T15:55:52.000Z
Paris,ratp.fr,marylene datin,1,,2021-10-29T15:16:54.000Z
Montpellier,tam-voyages.com,Masrar,5,,2021-05-08T13:25:57.000Z
Lille,ilevia.fr,Matheo Porier,1,,2021-06-24T15:33:42.000Z
Nice,lignesdazur.com,Mathieu,0,Expérience lamentable,2019-06-27T11:10:46.000Z
Marseille,rtm.fr,Mathieu Bresson,0,Une honte,2019-11-21T08:59:06.000Z
Montpellier,tam-voyages.com,Mathis Robin,1,,2021-07-21T23:33:27.000Z
Montpellier,tam-voyages.com,Maxence Bertrand,1,,2021-05-09T06:13:39.000Z
Lyon,tcl.fr,MB,0,,2019-07-03T08:51:17.000Z
Montpellier,tam-voyages.com,MBG,1,,2021-08-18T17:11:36.000Z
Marseille,rtm.fr,ME,0,Le réseau le plus catastrophique…,2019-10-01T14:14:45.000Z
Nice,lignesdazur.com,Medi Mes,0,Service déplorable ligne d’Azur,2019-03-04T19:43:43.000Z
Marseille,rtm.fr,Mel,1,,2021-10-01T14:14:45.000Z
Paris,iledefrance-mobilites.fr,Mel Anie,0,Catastrophique,2019-12-30T12:06:52.000Z
Paris,ratp.fr,mendel bensoussan,0,Agence SNCF / RATP,2026-01-05T20:46:55.000Z
Marseille,rtm.fr,MF,0,Je trouve honteux en ces journées de…,2019-07-09T14:28:13.000Z
Paris,iledefrance-mobilites.fr,MG,0,Service réclamation inexistant/fausse campagne de remboursement,2026-01-19T07:36:57.000Z
Paris,iledefrance-mobilites.fr,MH,0,L'équipe a retrouvé mon sac et mon…,2019-12-19T21:23:21.000Z
Paris,iledefrance-mobilites.fr,MI,0,L'imbroglio Navigo,2019-12-16T16:07:26.000Z
Montpellier,tam-voyages.com,Michelle,1,,2021-01-21T07:55:56.000Z
Montpellier,tam-voyages.com,Michelle Picardon,1,,2020-08-02T13:55:51.000Z
Paris,iledefrance-mobilites.fr,Mimi,1,,2021-12-16T16:07:26.000Z
Montpellier,tam-voyages.com,Mimine Dusud,3,,2021-06-19T14:45:51.000Z
Paris,iledefrance-mobilites.fr,Miriam,1,,2021-12-16T12:15:55.000Z
Paris,iledefrance-mobilites.fr,Mis,0,Sur la ligne RER B Orsay vers Paris,2019-11-23T11:08:29.000Z
Marseille,rtm.fr,MISSOUM ABD,0,Très déçu,2019-07-03T14:47:12.000Z
Lyon,tcl.fr,MK,0,Service mediocre,2019-10-15T09:47:43.000Z
Montpellier,tam-voyages.com,MLB azZ,1,,2020-10-26T20:59:55.000Z
Paris,iledefrance-mobilites.fr,MM,0,Amende injuste à cause d’un bug,2019-12-05T20:49:43.000Z
Lyon,tcl.fr,Mme ARRAMI CLAUDIA,0,Je prends tous les matins le 49 ou le…,2019-12-04T10:42:05.000Z
Marseille,rtm.fr,Mme FIORUCCI,1,,2021-07-09T14:28:13.000Z
Lyon,tcl.fr,Mme Sylvie,1,,2021-10-07T09:01:33.000Z
Marseille,rtm.fr,MO,0,Ce matin 7:55 bus 21J,2019-09-22T08:06:22.000Z
Marseille,rtm.fr,Mokhtari,1,,2021-07-18T08:19:59.000Z
Lyon,tcl.fr,MONCEF afsounui,0,Horrible c’est devenu horrible depuis…,2026-01-16T13:54:06.000Z
Lille,ilevia.fr,Monin,1,,2021-12-22T10:52:37.000Z
Paris,iledefrance-mobilites.fr,Monsieur Movaghar,1,,2021-12-05T20:49:43.000Z
Paris,iledefrance-mobilites.fr,Morgane G.,1,,2022-01-19T07:36:57.000Z
Marseille,rtm.fr,Morghi,1,,2021-09-22T08:06:22.000Z
Paris,ratp.fr,Mourad,0,,2019-07-12T13:39:18.000Z
Nice,lignesdazur.com,MR,0,Inadmissible,2019-07-01T17:54:54.000Z
Lyon,tcl.fr,MS,0,TCL vient d’acheter le réseau de cars…,2019-10-07T09:01:33.000Z
Lille,ilevia.fr,Mylène Olivier,1,,2021-08-12T13:04:35.000Z
Lille,ilevia.fr,Myriam Noel,1,,2021-03-17T10:08:15.000Z
Paris,iledefrance-mobilites.fr,MZ,0,mauvais est un euphémisme,2019-12-09T12:25:02.000Z
Lille,ilevia.fr,Mél Mat Enzo,1,,2021-07-12T01:20:29.000Z
Nice,lignesdazur.com,Mélissa Ribolini,1,,2021-05-05T17:51:03.000Z
Lille,ilevia.fr,Nadjiba Sehailia,5,,2022-01-14T01:09:38.000Z
Paris,iledefrance-mobilites.fr,Nadège,1,,2021-12-17T16:36:57.000Z
Lyon,tcl.fr,Nahema LALAOUI,0,Service de la c8 est minable comme t't…,2019-12-08T12:48:58.000Z
Montpellier,tam-voyages.com,Najoua Najouette,1,,2020-07-08T12:44:44.000Z
Lyon,tcl.fr,Nanou,5,,2021-11-15T20:33:57.000Z
Paris,iledefrance-mobilites.fr,Nassim nass,0,L'application mobile et service client…,2019-11-03T15:52:51.000Z
Lyon,tcl.fr,Nathalie Besacier,0,Jour de neige....application en panne…,2026-01-08T19:32:00.000Z
Paris,iledefrance-mobilites.fr,Nathalie Besançon,1,,2021-12-17T12:58:35.000Z
Lille,ilevia.fr,Nathalie Lenoir,1,,2021-12-03T17:51:23.000Z
Montpellier,tam-voyages.com,Nathalie Malengreau,1,,2019-12-31T12:36:59.000Z
Nice,lignesdazur.com,Nathalie Martin,0,Navette interne station Isola 2000,2026-01-23T20:38:32.000Z
Lille,ilevia.fr,nathalie mercier,1,,2021-05-25T12:12:27.000Z
Montpellier,tam-voyages.com,Nathalie PELEGRIN,1,,2021-12-03T11:30:45.000Z
Lille,ilevia.fr,Nathalie Schittecatte,1,,2021-09-25T19:27:07.000Z
Paris,ratp.fr,Nathan,1,,2021-12-03T11:03:33.000Z
Lille,ilevia.fr,Nathan Vermeersch,1,,2021-12-27T11:44:34.000Z
Paris,ratp.fr,Nawel Bourekh,0,J’aurai aimé mettre 0 mais bon…,2026-01-20T10:34:02.000Z
Lille,ilevia.fr,Nawel Choukhi,1,,2021-08-27T08:23:11.000Z
Marseille,rtm.fr,Nazline,1,,2021-08-20T06:48:37.000Z
Paris,iledefrance-mobilites.fr,NB,0,Un cauchemar le pass navigo,2019-12-17T12:58:35.000Z
Marseille,rtm.fr,Ndeyetening Faye,0,Le bus 89 jamais à l’heure c’est le…,2019-12-28T08:03:52.000Z
Montpellier,tam-voyages.com,Nesny Fiona Ada Edou,1,,2020-01-23T09:22:46.000Z
Lille,ilevia.fr,Nico Senko,1,,2022-01-14T13:32:45.000Z
Bordeaux,infotbm.com,Nicolas Barot,1,,2021-05-30T17:48:33.000Z
Paris,ratp.fr,Nicolas Goguet,0,Un calvaire,2019-12-14T18:48:32.000Z
Paris,ratp.fr,Nicolas Loukitch,0,,2019-06-17T00:16:57.000Z
Paris,ratp.fr,Nicolas M,1,,2022-01-25T20:43:56.000Z
Paris,iledefrance-mobilites.fr,Nicolas Pansard,1,,2021-11-17T13:13:23.000Z
Marseille,rtm.fr,Nina Maria,1,,2021-06-07T12:07:21.000Z
Lyon,tcl.fr,Ninja Tokyo,1,,2022-01-27T19:35:38.000Z
Paris,ratp.fr,NM,0,"LIGNE 11 du métro, 5 étoiles pour l'inconfort, le bruit et la compression de voyageurs",2026-01-25T20:43:56.000Z
Lille,ilevia.fr,Noa Tzanev,1,,2021-08-26T17:35:17.000Z
Nice,lignesdazur.com,nolan,0,Vos chauffeurs sont-ils payés a faire…,2019-07-07T18:31:20.000Z
Montpellier,tam-voyages.com,Nonem,1,,2021-03-02T15:16:06.000Z
Paris,ratp.fr,Nouari Sam,0,Bonjour j aimerais savoir si j est le…,2026-01-11T22:14:04.000Z
Paris,iledefrance-mobilites.fr,NP,0,Attention à la double facturation !!!,2019-11-17T13:13:23.000Z
Lyon,tcl.fr,NT,0,Avis usager interpellé sans raison à la montée,2026-01-27T19:35:38.000Z
Lille,ilevia.fr,obol obol,1,,2021-02-08T01:27:57.000Z
Lyon,tcl.fr,Olivier Girard,0,"Système paiement CB simple, mais validation passages suivants dans l'heure compliqués",2019-11-24T15:36:39.000Z
Marseille,rtm.fr,Olivier Harris,0,Ce matin peu avant 09hO0 le tramway est…,2019-11-20T14:44:05.000Z
Paris,ratp.fr,Olivier Maud,0,Nouveau tarif scandaleux,2026-01-06T19:29:07.000Z
Marseille,rtm.fr,Olivier Namont,0,Pass à éviter,2019-06-15T15:37:04.000Z
Paris,ratp.fr,Orelya Taieb,1,,2021-11-06T13:21:04.000Z
Nice,lignesdazur.com,PA,0,Folklorique,2019-07-25T08:44:33.000Z
Paris,ratp.fr,Pascale FALAISE,1,,2021-12-08T17:46:13.000Z
Paris,iledefrance-mobilites.fr,Patrice BAILLY,0,Félicitations pour la tarification,2019-12-09T20:25:30.000Z
Bordeaux,infotbm.com,Patrick LANAU,2,,2022-01-29T14:09:01.000Z
Lille,ilevia.fr,Paula Mesame,1,,2021-12-19T09:50:28.000Z
Nice,lignesdazur.com,Pauline,1,,2021-07-25T08:44:33.000Z
Lille,ilevia.fr,Pauline Honore,1,,2021-06-13T12:50:13.000Z
Lyon,tcl.fr,PE,0,Non assistance et conduite dangereuse,2026-01-10T22:01:29.000Z
Montpellier,tam-voyages.com,pedro Françoise,5,,2021-02-08T17:50:40.000Z
Lille,ilevia.fr,Peet,1,,2021-12-17T11:58:08.000Z
Nice,lignesdazur.com,Perie Stef,0,chauffeur grincheux,2019-10-21T12:35:05.000Z
Lyon,tcl.fr,perseverante,1,,2022-01-10T22:01:29.000Z
Lyon,tcl.fr,Philippe M,0,Non respect des horaires donc des clients,2019-10-18T09:14:56.000Z
Lille,ilevia.fr,Philippe TAILLE,1,,2022-01-07T14:51:40.000Z
Paris,ratp.fr,Philippe Villejuif,0,,2019-06-28T09:40:23.000Z
Lyon,tcl.fr,PI,0,"Des tarifs indécents, un service minable",2019-11-28T11:10:25.000Z
Montpellier,tam-voyages.com,Pierre Christol,1,,2021-11-19T20:47:16.000Z
Lille,ilevia.fr,Pierre Henry,1,,2021-10-12T22:07:25.000Z
Montpellier,tam-voyages.com,Pierre-Arnaud FAYE,1,,2021-11-07T18:57:09.000Z
Lyon,tcl.fr,Pioup,1,,2021-11-28T11:10:25.000Z
Paris,ratp.fr,Pitou 911,1,,2021-10-29T12:16:04.000Z
Paris,iledefrance-mobilites.fr,PM,0,,2019-08-22T21:13:09.000Z
Marseille,rtm.fr,Poli Regine Poli,0,Bonjour,2019-09-11T09:59:43.000Z
Paris,ratp.fr,PR,0,,2019-06-19T11:34:18.000Z
Paris,ratp.fr,RA,0,Pour info,2026-01-05T20:22:03.000Z
Paris,iledefrance-mobilites.fr,Rafaèle Versault,0,À quoi bon afficher des horaires pour…,2019-11-24T08:43:16.000Z
Paris,ratp.fr,Rafik Abichou,1,,2021-12-02T10:56:42.000Z
Nice,lignesdazur.com,raphael prince,1,,2021-10-25T19:50:20.000Z
Montpellier,tam-voyages.com,Ratiba Rouzlani,3,,2021-11-06T10:46:19.000Z
Montpellier,tam-voyages.com,Raymond Allegre,1,,2020-04-03T11:09:59.000Z
Paris,iledefrance-mobilites.fr,RE,0,,2019-05-15T09:45:04.000Z
Montpellier,tam-voyages.com,remi l,1,,2021-09-15T11:59:35.000Z
Marseille,rtm.fr,Remy Ferrari,0,Encore une fois impossible de rentrer…,2026-01-22T01:57:19.000Z
Paris,ratp.fr,RH,0,,2019-10-12T09:45:10.000Z
Lille,ilevia.fr,Richard GREGOIRE,3,,2021-05-31T07:18:56.000Z
