"fact_impact_sk","time_sk","zone_sk","mode_sk","weather_sk","event_sk","energie_kwh","co2_kg","pm25","no2","aqi_index","nb_accidents","nb_graves","nb_mortels","usagers_vulnerables","volume_crimes","taux_criminalite","bak_co2_kg","bak_nb_mortels","bak_volume_crimes","bak_aqi_index","bak_taux_criminalite","bak_pm25","bak_no2","bak_zone_sk","bak_mode_sk","bak_event_sk"
"947","1417","3","6","211801","20","38.0933","102.09","15.9675","42.762","28.857","0","0","0","0","36","0.923","102.09","0","36","28.857","0.923","15.9675","42.762","3","0","20"
"948","1417","3","6","246865","20","38.0933","102.09","15.9675","42.762","28.857","0","0","0","0","36","0.923","102.09","0","36","28.857","0.923","15.9675","42.762","3","0","20"
"949","1417","3","6","281929","20","38.0933","102.09","15.9675","42.762","28.857","0","0","0","0","36","0.923","102.09","0","36","28.857","0.923","15.9675","42.762","3","0","20"
"950","1417","3","6","316993","20","38.0933","102.09","15.9675","42.762","28.857","0","0","0","0","36","0.923","102.09","0","36","28.857","0.923","15.9675","42.762","3","0","20"
"951","1417","3","3","1417","20","84.144","4.207","15.9675","42.762","28.857","0","0","0","0","36","0.923","4.207","0","36","28.857","0.923","15.9675","42.762","3","3","20"
"952","1417","3","3","36481","20","84.144","4.207","15.9675","42.762","28.857","0","0","0","0","36","0.923","4.207","0","36","28.857","0.923","15.9675","42.762","3","3","20"
"953","1417","3","3","71545","20","84.144","4.207","15.9675","42.762","28.857","0","0","0","0","36","0.923","4.207","0","36","28.857","0.923","15.9675","42.762","3","3","20"
"954","1417","3","3","106609","20","84.144","4.207","15.9675","42.762","28.857","0","0","0","0","36","0.923","4.207","0","36","28.857","0.923","15.9675","42.762","3","3","20"
"955","1417","3","3","141673","20","84.144","4.207","15.9675","42.762","28.857","0","0","0","0","36","0.923","4.207","0","36","28.857","0.923","15.9675","42.762","3","3","20"
"956","1417","3","3","176737","20","84.144","4.207","15.9675","42.762","28.857","0","0","0","0","36","0.923","4.207","0","36","28.857","0.923","15.9675","42.762","3","3","20"
"957","1417","3","3","211801","20","84.144","4.207","15.9675","42.762","28.857","0","0","0","0","36","0.923","4.207","0","36","28.857","0.923","15.9675","42.762","3","3","20"
"958","1417","3","3","246865","20","84.144","4.207","15.9675","42.762","28.857","0","0","0","0","36","0.923","4.207","0","36","28.857","0.923","15.9675","42.762","3","3","20"
"959","1417","3","3","281929","20","84.144","4.207","15.9675","42.762","28.857","0","0","0","0","36","0.923","4.207","0","36","28.857","0.923","15.9675","42.762","3","3","20"
"960","1417","3","3","316993","20","84.144","4.207","15.9675","42.762","28.857","0","0","0","0","36","0.923","4.207","0","36","28.857","0.923","15.9675","42.762","3","3","20"
"961","1417","3","5","1417","20","61.23","3.062","15.9675","42.762","28.857","0","0","0","0","36","0.923","3.062","0","36","28.857","0.923","15.9675","42.762","3","5","20"
"962","1417","3","5","36481","20","61.23","3.062","15.9675","42.762","28.857","0","0","0","0","36","0.923","3.062","0","36","28.857","0.923","15.9675","42.762","3","5","20"
"963","1417","3","5","71545","20","61.23","3.062","15.9675","42.762","28.857","0","0","0","0","36","0.923","3.062","0","36","28.857","0.923","15.9675","42.762","3","5","20"
"964","1417","3","5","106609","20","61.23","3.062","15.9675","42.762","28.857","0","0","0","0","36","0.923","3.062","0","36","28.857","0.923","15.9675","42.762","3","5","20"
"965","1417","3","5","141673","20","61.23","3.062","15.9675","42.762","28.857","0","0","0","0","36","0.923","3.062","0","36","28.857","0.923","15.9675","42.762","3","5","20"
"966","1417","3","5","176737","20","61.23","3.062","15.9675","42.762","28.857","0","0","0","0","36","0.923","3.062","0","36","28.857","0.923","15.9675","42.762","3","5","20"
"967","1417","3","5","211801","20","61.23","3.062","15.9675","42.762","28.857","0","0","0","0","36","0.923","3.062","0","36","28.857","0.923","15.9675","42.762","3","5","20"
"968","1417","3","5","246865","20","61.23","3.062","15.9675","42.762","28.857","0","0","0","0","36","0.923","3.062","0","36","28.857","0.923","15.9675","42.762","3","5","20"
"969","1417","3","5","281929","20","61.23","3.062","15.9675","42.762","28.857","0","0","0","0","36","0.923","3.062","0","36","28.857","0.923","15.9675","42.762","3","5","20"
"970","1417","3","5","316993","20","61.23","3.062","15.9675","42.762","28.857","0","0","0","0","36","0.923","3.062","0","36","28.857","0.923","15.9675","42.762","3","5","20"
"971","1417","4","2","1417","20","161.697","8.085","13.295","38.6","22.784","0","0","0","0","31","1.476","8.085","0","31","22.784","1.476","13.295","38.6","4","2","20"
"972","1417","4","2","36481","20","161.697","8.085","13.295","38.6","22.784","0","0","0","0","31","1.476","8.085","0","31","22.784","1.476","13.295","38.6","4","2","20"
"973","1417","4","2","71545","20","161.697","8.085","13.295","38.6","22.784","0","0","0","0","31","1.476","8.085","0","31","22.784","1.476","13.295","38.6","4","2","20"
"974","1417","4","2","106609","20","161.697","8.085","13.295","38.6","22.784","0","0","0","0","31","1.476","8.085","0","31","22.784","1.476","13.295","38.6","4","2","20"
"975","1417","4","2","141673","20","161.697","8.085","13.295","38.6","22.784","0","0","0","0","31","1.476","8.085","0","31","22.784","1.476","13.295","38.6","4","2","20"
"976","1417","4","2","176737","20","161.697","8.085","13.295","38.6","22.784","0","0","0","0","31","1.476","8.085","0","31","22.784","1.476","13.295","38.6","4","2","20"
"977","1417","4","2","211801","20","161.697","8.085","13.295","38.6","22.784","0","0","0","0","31","1.476","8.085","0","31","22.784","1.476","13.295","38.6","4","2","20"
"978","1417","4","2","246865","20","161.697","8.085","13.295","38.6","22.784","0","0","0","0","31","1.476","8.085","0","31","22.784","1.476","13.295","38.6","4","2","20"
"979","1417","4","2","281929","20","161.697","8.085","13.295","38.6","22.784","0","0","0","0","31","1.476","8.085","0","31","22.784","1.476","13.295","38.6","4","2","20"
"980","1417","4","2","316993","20","161.697","8.085","13.295","38.6","22.784","0","0","0","0","31","1.476","8.085","0","31","22.784","1.476","13.295","38.6","4","2","20"
"981","1417","4","6","1417","20","6.576","17.624","13.295","38.6","22.784","0","0","0","0","31","1.476","17.624","0","31","22.784","1.476","13.295","38.6","4","0","20"
"982","1417","4","6","36481","20","6.576","17.624","13.295","38.6","22.784","0","0","0","0","31","1.476","17.624","0","31","22.784","1.476","13.295","38.6","4","0","20"
"983","1417","4","6","71545","20","6.576","17.624","13.295","38.6","22.784","0","0","0","0","31","1.476","17.624","0","31","22.784","1.476","13.295","38.6","4","0","20"
"984","1417","4","6","106609","20","6.576","17.624","13.295","38.6","22.784","0","0","0","0","31","1.476","17.624","0","31","22.784","1.476","13.295","38.6","4","0","20"
"985","1417","4","6","141673","20","6.576","17.624","13.295","38.6","22.784","0","0","0","0","31","1.476","17.624","0","31","22.784","1.476","13.295","38.6","4","0","20"
"986","1417","4","6","176737","20","6.576","17.624","13.295","38.6","22.784","0","0","0","0","31","1.476","17.624","0","31","22.784","1.476","13.295","38.6","4","0","20"
"987","1417","4","6","211801","20","6.576","17.624","13.295","38.6","22.784","0","0","0","0","31","1.476","17.624","0","31","22.784","1.476","13.295","38.6","4","0","20"
"988","1417","4","6","246865","20","6.576","17.624","13.295","38.6","22.784","0","0","0","0","31","1.476","17.624","0","31","22.784","1.476","13.295","38.6","4","0","20"
"989","1417","4","6","281929","20","6.576","17.624","13.295","38.6","22.784","0","0","0","0","31","1.476","17.624","0","31","22.784","1.476","13.295","38.6","4","0","20"
"990","1417","4","6","316993","20","6.576","17.624","13.295","38.6","22.784","0","0","0","0","31","1.476","17.624","0","31","22.784","1.476","13.295","38.6","4","0","20"
"991","1417","4","3","1417","20","84.2093","4.21","13.295","38.6","22.784","0","0","0","0","31","1.476","4.21","0","31","22.784","1.476","13.295","38.6","4","3","20"
"992","1417","4","3","36481","20","84.2093","4.21","13.295","38.6","22.784","0","0","0","0","31","1.476","4.21","0","31","22.784","1.476","13.295","38.6","4","3","20"
"993","1417","4","3","71545","20","84.2093","4.21","13.295","38.6","22.784","0","0","0","0","31","1.476","4.21","0","31","22.784","1.476","13.295","38.6","4","3","20"
"994","1417","4","3","106609","20","84.2093","4.21","13.295","38.6","22.784","0","0","0","0","31","1.476","4.21","0","31","22.784","1.476","13.295","38.6","4","3","20"
"995","1417","4","3","141673","20","84.2093","4.21","13.295","38.6","22.784","0","0","0","0","31","1.476","4.21","0","31","22.784","1.476","13.295","38.6","4","3","20"
"996","1417","4","3","176737","20","84.2093","4.21","13.295","38.6","22.784","0","0","0","0","31","1.476","4.21","0","31","22.784","1.476","13.295","38.6","4","3","20"
"997","1417","4","3","211801","20","84.2093","4.21","13.295","38.6","22.784","0","0","0","0","31","1.476","4.21","0","31","22.784","1.476","13.295","38.6","4","3","20"
"998","1417","4","3","246865","20","84.2093","4.21","13.295","38.6","22.784","0","0","0","0","31","1.476","4.21","0","31","22.784","1.476","13.295","38.6","4","3","20"
"999","1417","4","3","281929","20","84.2093","4.21","13.295","38.6","22.784","0","0","0","0","31","1.476","4.21","0","31","22.784","1.476","13.295","38.6","4","3","20"
"1000","1417","4","3","316993","20","84.2093","4.21","13.295","38.6","22.784","0","0","0","0","31","1.476","4.21","0","31","22.784","1.476","13.295","38.6","4","3","20"
"1001","1417","4","5","1417","20","70.056","3.503","13.295","38.6","22.784","0","0","0","0","31","1.476","3.503","0","31","22.784","1.476","13.295","38.6","4","5","20"
"1002","1417","4","5","36481","20","70.056","3.503","13.295","38.6","22.784","0","0","0","0","31","1.476","3.503","0","31","22.784","1.476","13.295","38.6","4","5","20"
"1003","1417","4","5","71545","20","70.056","3.503","13.295","38.6","22.784","0","0","0","0","31","1.476","3.503","0","31","22.784","1.476","13.295","38.6","4","5","20"
"1004","1417","4","5","106609","20","70.056","3.503","13.295","38.6","22.784","0","0","0","0","31","1.476","3.503","0","31","22.784","1.476","13.295","38.6","4","5","20"
"1005","1417","4","5","141673","20","70.056","3.503","13.295","38.6","22.784","0","0","0","0","31","1.476","3.503","0","31","22.784","1.476","13.295","38.6","4","5","20"
"1006","1417","4","5","176737","20","70.056","3.503","13.295","38.6","22.784","0","0","0","0","31","1.476","3.503","0","31","22.784","1.476","13.295","38.6","4","5","20"
"1007","1417","4","5","211801","20","70.056","3.503","13.295","38.6","22.784","0","0","0","0","31","1.476","3.503","0","31","22.784","1.476","13.295","38.6","4","5","20"
"1008","1417","4","5","246865","20","70.056","3.503","13.295","38.6","22.784","0","0","0","0","31","1.476","3.503","0","31","22.784","1.476","13.295","38.6","4","5","20"
"1009","1417","4","5","281929","20","70.056","3.503","13.295","38.6","22.784","0","0","0","0","31","1.476","3.503","0","31","22.784","1.476","13.295","38.6","4","5","20"
"1010","1417","4","5","316993","20","70.056","3.503","13.295","38.6","22.784","0","0","0","0","31","1.476","3.503","0","31","22.784","1.476","13.295","38.6","4","5","20"
"1011","1417","5","2","1417","20","102.836","416.225","12.208","36.1267","23.328","0","0","0","0","28","1.12","416.225","0","28","23.328","1.12","12.208","36.1267","5","2","20"
"1012","1417","5","2","36481","20","102.836","416.225","12.208","36.1267","23.328","0","0","0","0","28","1.12","416.225","0","28","23.328","1.12","12.208","36.1267","5","2","20"
"1013","1417","5","2","71545","20","102.836","416.225","12.208","36.1267","23.328","0","0","0","0","28","1.12","416.225","0","28","23.328","1.12","12.208","36.1267","5","2","20"
"1014","1417","5","2","106609","20","102.836","416.225","12.208","36.1267","23.328","0","0","0","0","28","1.12","416.225","0","28","23.328","1.12","12.208","36.1267","5","2","20"
"1015","1417","5","2","141673","20","102.836","416.225","12.208","36.1267","23.328","0","0","0","0","28","1.12","416.225","0","28","23.328","1.12","12.208","36.1267","5","2","20"
"1016","1417","5","2","176737","20","102.836","416.225","12.208","36.1267","23.328","0","0","0","0","28","1.12","416.225","0","28","23.328","1.12","12.208","36.1267","5","2","20"
"1017","1417","5","2","211801","20","102.836","416.225","12.208","36.1267","23.328","0","0","0","0","28","1.12","416.225","0","28","23.328","1.12","12.208","36.1267","5","2","20"
"1018","1417","5","2","246865","20","102.836","416.225","12.208","36.1267","23.328","0","0","0","0","28","1.12","416.225","0","28","23.328","1.12","12.208","36.1267","5","2","20"
"1019","1417","5","2","281929","20","102.836","416.225","12.208","36.1267","23.328","0","0","0","0","28","1.12","416.225","0","28","23.328","1.12","12.208","36.1267","5","2","20"
"1020","1417","5","2","316993","20","102.836","416.225","12.208","36.1267","23.328","0","0","0","0","28","1.12","416.225","0","28","23.328","1.12","12.208","36.1267","5","2","20"
"1021","1417","5","6","1417","20","29.0373","1.452","12.208","36.1267","23.328","0","0","0","0","28","1.12","1.452","0","28","23.328","1.12","12.208","36.1267","5","0","20"
"1022","1417","5","6","36481","20","29.0373","1.452","12.208","36.1267","23.328","0","0","0","0","28","1.12","1.452","0","28","23.328","1.12","12.208","36.1267","5","0","20"
"1023","1417","5","6","71545","20","29.0373","1.452","12.208","36.1267","23.328","0","0","0","0","28","1.12","1.452","0","28","23.328","1.12","12.208","36.1267","5","0","20"
"1024","1417","5","6","106609","20","29.0373","1.452","12.208","36.1267","23.328","0","0","0","0","28","1.12","1.452","0","28","23.328","1.12","12.208","36.1267","5","0","20"
"1025","1417","5","6","141673","20","29.0373","1.452","12.208","36.1267","23.328","0","0","0","0","28","1.12","1.452","0","28","23.328","1.12","12.208","36.1267","5","0","20"
"1026","1417","5","6","176737","20","29.0373","1.452","12.208","36.1267","23.328","0","0","0","0","28","1.12","1.452","0","28","23.328","1.12","12.208","36.1267","5","0","20"
"1027","1417","5","6","211801","20","29.0373","1.452","12.208","36.1267","23.328","0","0","0","0","28","1.12","1.452","0","28","23.328","1.12","12.208","36.1267","5","0","20"
"1028","1417","5","6","246865","20","29.0373","1.452","12.208","36.1267","23.328","0","0","0","0","28","1.12","1.452","0","28","23.328","1.12","12.208","36.1267","5","0","20"
"1029","1417","5","6","281929","20","29.0373","1.452","12.208","36.1267","23.328","0","0","0","0","28","1.12","1.452","0","28","23.328","1.12","12.208","36.1267","5","0","20"
"1030","1417","5","6","316993","20","29.0373","1.452","12.208","36.1267","23.328","0","0","0","0","28","1.12","1.452","0","28","23.328","1.12","12.208","36.1267","5","0","20"
"1031","1417","5","3","1417","20","65.6373","3.282","12.208","36.1267","23.328","0","0","0","0","28","1.12","3.282","0","28","23.328","1.12","12.208","36.1267","5","3","20"
"1032","1417","5","3","36481","20","65.6373","3.282","12.208","36.1267","23.328","0","0","0","0","28","1.12","3.282","0","28","23.328","1.12","12.208","36.1267","5","3","20"
"1033","1417","5","3","71545","20","65.6373","3.282","12.208","36.1267","23.328","0","0","0","0","28","1.12","3.282","0","28","23.328","1.12","12.208","36.1267","5","3","20"
"1034","1417","5","3","106609","20","65.6373","3.282","12.208","36.1267","23.328","0","0","0","0","28","1.12","3.282","0","28","23.328","1.12","12.208","36.1267","5","3","20"
"1035","1417","5","3","141673","20","65.6373","3.282","12.208","36.1267","23.328","0","0","0","0","28","1.12","3.282","0","28","23.328","1.12","12.208","36.1267","5","3","20"
"1036","1417","5","3","176737","20","65.6373","3.282","12.208","36.1267","23.328","0","0","0","0","28","1.12","3.282","0","28","23.328","1.12","12.208","36.1267","5","3","20"
"1037","1417","5","3","211801","20","65.6373","3.282","12.208","36.1267","23.328","0","0","0","0","28","1.12","3.282","0","28","23.328","1.12","12.208","36.1267","5","3","20"
"1038","1417","5","3","246865","20","65.6373","3.282","12.208","36.1267","23.328","0","0","0","0","28","1.12","3.282","0","28","23.328","1.12","12.208","36.1267","5","3","20"
"1039","1417","5","3","281929","20","65.6373","3.282","12.208","36.1267","23.328","0","0","0","0","28","1.12","3.282","0","28","23.328","1.12","12.208","36.1267","5","3","20"
"1040","1417","5","3","316993","20","65.6373","3.282","12.208","36.1267","23.328","0","0","0","0","28","1.12","3.282","0","28","23.328","1.12","12.208","36.1267","5","3","20"
"1041","1417","5","5","1417","20","51.969","2.598","12.208","36.1267","23.328","0","0","0","0","28","1.12","2.598","0","28","23.328","1.12","12.208","36.1267","5","5","20"
"1042","1417","5","5","36481","20","51.969","2.598","12.208","36.1267","23.328","0","0","0","0","28","1.12","2.598","0","28","23.328","1.12","12.208","36.1267","5","5","20"
"1043","1417","5","5","71545","20","51.969","2.598","12.208","36.1267","23.328","0","0","0","0","28","1.12","2.598","0","28","23.328","1.12","12.208","36.1267","5","5","20"
"1044","1417","5","5","106609","20","51.969","2.598","12.208","36.1267","23.328","0","0","0","0","28","1.12","2.598","0","28","23.328","1.12","12.208","36.1267","5","5","20"
"1045","1417","5","5","141673","20","51.969","2.598","12.208","36.1267","23.328","0","0","0","0","28","1.12","2.598","0","28","23.328","1.12","12.208","36.1267","5","5","20"
"1046","1417","5","5","176737","20","51.969","2.598","12.208","36.1267","23.328","0","0","0","0","28","1.12","2.598","0","28","23.328","1.12","12.208","36.1267","5","5","20"
"1047","1417","5","5","211801","20","51.969","2.598","12.208","36.1267","23.328","0","0","0","0","28","1.12","2.598","0","28","23.328","1.12","12.208","36.1267","5","5","20"
"1048","1417","5","5","246865","20","51.969","2.598","12.208","36.1267","23.328","0","0","0","0","28","1.12","2.598","0","28","23.328","1.12","12.208","36.1267","5","5","20"
"1049","1417","5","5","281929","20","51.969","2.598","12.208","36.1267","23.328","0","0","0","0","28","1.12","2.598","0","28","23.328","1.12","12.208","36.1267","5","5","20"
"1050","1417","5","5","316993","20","51.969","2.598","12.208","36.1267","23.328","0","0","0","0","28","1.12","2.598","0","28","23.328","1.12","12.208","36.1267","5","5","20"
"1051","1417","6","2","1417","20","143.922","385.712","15.2833","36.34","21.916","0","0","0","0","25","0.833","385.712","0","25","21.916","0.833","15.2833","36.34","6","2","20"
"1052","1417","6","2","36481","20","143.922","385.712","15.2833","36.34","21.916","0","0","0","0","25","0.833","385.712","0","25","21.916","0.833","15.2833","36.34","6","2","20"
"1053","1417","6","2","71545","20","143.922","385.712","15.2833","36.34","21.916","0","0","0","0","25","0.833","385.712","0","25","21.916","0.833","15.2833","36.34","6","2","20"
"1054","1417","6","2","106609","20","143.922","385.712","15.2833","36.34","21.916","0","0","0","0","25","0.833","385.712","0","25","21.916","0.833","15.2833","36.34","6","2","20"
"1055","1417","6","2","141673","20","143.922","385.712","15.2833","36.34","21.916","0","0","0","0","25","0.833","385.712","0","25","21.916","0.833","15.2833","36.34","6","2","20"
"1056","1417","6","2","176737","20","143.922","385.712","15.2833","36.34","21.916","0","0","0","0","25","0.833","385.712","0","25","21.916","0.833","15.2833","36.34","6","2","20"
"1057","1417","6","2","211801","20","143.922","385.712","15.2833","36.34","21.916","0","0","0","0","25","0.833","385.712","0","25","21.916","0.833","15.2833","36.34","6","2","20"
"1058","1417","6","2","246865","20","143.922","385.712","15.2833","36.34","21.916","0","0","0","0","25","0.833","385.712","0","25","21.916","0.833","15.2833","36.34","6","2","20"
"1059","1417","6","2","281929","20","143.922","385.712","15.2833","36.34","21.916","0","0","0","0","25","0.833","385.712","0","25","21.916","0.833","15.2833","36.34","6","2","20"
"1060","1417","6","2","316993","20","143.922","385.712","15.2833","36.34","21.916","0","0","0","0","25","0.833","385.712","0","25","21.916","0.833","15.2833","36.34","6","2","20"
"1061","1417","6","6","1417","20","23.3613","1.168","15.2833","36.34","21.916","0","0","0","0","25","0.833","1.168","0","25","21.916","0.833","15.2833","36.34","6","0","20"
"1062","1417","6","6","36481","20","23.3613","1.168","15.2833","36.34","21.916","0","0","0","0","25","0.833","1.168","0","25","21.916","0.833","15.2833","36.34","6","0","20"
"1063","1417","6","6","71545","20","23.3613","1.168","15.2833","36.34","21.916","0","0","0","0","25","0.833","1.168","0","25","21.916","0.833","15.2833","36.34","6","0","20"
"1064","1417","6","6","106609","20","23.3613","1.168","15.2833","36.34","21.916","0","0","0","0","25","0.833","1.168","0","25","21.916","0.833","15.2833","36.34","6","0","20"
"1065","1417","6","6","141673","20","23.3613","1.168","15.2833","36.34","21.916","0","0","0","0","25","0.833","1.168","0","25","21.916","0.833","15.2833","36.34","6","0","20"
"1066","1417","6","6","176737","20","23.3613","1.168","15.2833","36.34","21.916","0","0","0","0","25","0.833","1.168","0","25","21.916","0.833","15.2833","36.34","6","0","20"
"1067","1417","6","6","211801","20","23.3613","1.168","15.2833","36.34","21.916","0","0","0","0","25","0.833","1.168","0","25","21.916","0.833","15.2833","36.34","6","0","20"
"1068","1417","6","6","246865","20","23.3613","1.168","15.2833","36.34","21.916","0","0","0","0","25","0.833","1.168","0","25","21.916","0.833","15.2833","36.34","6","0","20"
"1069","1417","6","6","281929","20","23.3613","1.168","15.2833","36.34","21.916","0","0","0","0","25","0.833","1.168","0","25","21.916","0.833","15.2833","36.34","6","0","20"
"1070","1417","6","6","316993","20","23.3613","1.168","15.2833","36.34","21.916","0","0","0","0","25","0.833","1.168","0","25","21.916","0.833","15.2833","36.34","6","0","20"
"1071","1417","6","3","1417","20","106.949","5.347","15.2833","36.34","21.916","0","0","0","0","25","0.833","5.347","0","25","21.916","0.833","15.2833","36.34","6","3","20"
"1072","1417","6","3","36481","20","106.949","5.347","15.2833","36.34","21.916","0","0","0","0","25","0.833","5.347","0","25","21.916","0.833","15.2833","36.34","6","3","20"
"1073","1417","6","3","71545","20","106.949","5.347","15.2833","36.34","21.916","0","0","0","0","25","0.833","5.347","0","25","21.916","0.833","15.2833","36.34","6","3","20"
"1074","1417","6","3","106609","20","106.949","5.347","15.2833","36.34","21.916","0","0","0","0","25","0.833","5.347","0","25","21.916","0.833","15.2833","36.34","6","3","20"
"1075","1417","6","3","141673","20","106.949","5.347","15.2833","36.34","21.916","0","0","0","0","25","0.833","5.347","0","25","21.916","0.833","15.2833","36.34","6","3","20"
"1076","1417","6","3","176737","20","106.949","5.347","15.2833","36.34","21.916","0","0","0","0","25","0.833","5.347","0","25","21.916","0.833","15.2833","36.34","6","3","20"
"1077","1417","6","3","211801","20","106.949","5.347","15.2833","36.34","21.916","0","0","0","0","25","0.833","5.347","0","25","21.916","0.833","15.2833","36.34","6","3","20"
"1078","1417","6","3","246865","20","106.949","5.347","15.2833","36.34","21.916","0","0","0","0","25","0.833","5.347","0","25","21.916","0.833","15.2833","36.34","6","3","20"
"1079","1417","6","3","281929","20","106.949","5.347","15.2833","36.34","21.916","0","0","0","0","25","0.833","5.347","0","25","21.916","0.833","15.2833","36.34","6","3","20"
"1080","1417","6","3","316993","20","106.949","5.347","15.2833","36.34","21.916","0","0","0","0","25","0.833","5.347","0","25","21.916","0.833","15.2833","36.34","6","3","20"
"1081","1417","6","5","1417","20","73.659","3.683","15.2833","36.34","21.916","0","0","0","0","25","0.833","3.683","0","25","21.916","0.833","15.2833","36.34","6","5","20"
"1082","1417","6","5","36481","20","73.659","3.683","15.2833","36.34","21.916","0","0","0","0","25","0.833","3.683","0","25","21.916","0.833","15.2833","36.34","6","5","20"
"1083","1417","6","5","71545","20","73.659","3.683","15.2833","36.34","21.916","0","0","0","0","25","0.833","3.683","0","25","21.916","0.833","15.2833","36.34","6","5","20"
"1084","1417","6","5","106609","20","73.659","3.683","15.2833","36.34","21.916","0","0","0","0","25","0.833","3.683","0","25","21.916","0.833","15.2833","36.34","6","5","20"
"1085","1417","6","5","141673","20","73.659","3.683","15.2833","36.34","21.916","0","0","0","0","25","0.833","3.683","0","25","21.916","0.833","15.2833","36.34","6","5","20"
"1086","1417","6","5","176737","20","73.659","3.683","15.2833","36.34","21.916","0","0","0","0","25","0.833","3.683","0","25","21.916","0.833","15.2833","36.34","6","5","20"
"1087","1417","6","5","211801","20","73.659","3.683","15.2833","36.34","21.916","0","0","0","0","25","0.833","3.683","0","25","21.916","0.833","15.2833","36.34","6","5","20"
"1088","1417","6","5","246865","20","73.659","3.683","15.2833","36.34","21.916","0","0","0","0","25","0.833","3.683","0","25","21.916","0.833","15.2833","36.34","6","5","20"
"1089","1417","6","5","281929","20","73.659","3.683","15.2833","36.34","21.916","0","0","0","0","25","0.833","3.683","0","25","21.916","0.833","15.2833","36.34","6","5","20"
"1090","1417","6","5","316993","20","73.659","3.683","15.2833","36.34","21.916","0","0","0","0","25","0.833","3.683","0","25","21.916","0.833","15.2833","36.34","6","5","20"
"1091","1417","7","2","1417","20","102.108","273.649","14.76","35.3567","23.138","0","0","0","0","28","0.848","273.649","0","28","23.138","0.848","14.76","35.3567","7","2","20"
"1092","1417","7","2","36481","20","102.108","273.649","14.76","35.3567","23.138","0","0","0","0","28","0.848","273.649","0","28","23.138","0.848","14.76","35.3567","7","2","20"
"1093","1417","7","2","71545","20","102.108","273.649","14.76","35.3567","23.138","0","0","0","0","28","0.848","273.649","0","28","23.138","0.848","14.76","35.3567","7","2","20"
"1094","1417","7","2","106609","20","102.108","273.649","14.76","35.3567","23.138","0","0","0","0","28","0.848","273.649","0","28","23.138","0.848","14.76","35.3567","7","2","20"
"1095","1417","7","2","141673","20","102.108","273.649","14.76","35.3567","23.138","0","0","0","0","28","0.848","273.649","0","28","23.138","0.848","14.76","35.3567","7","2","20"
"1096","1417","7","2","176737","20","102.108","273.649","14.76","35.3567","23.138","0","0","0","0","28","0.848","273.649","0","28","23.138","0.848","14.76","35.3567","7","2","20"
"1097","1417","7","2","211801","20","102.108","273.649","14.76","35.3567","23.138","0","0","0","0","28","0.848","273.649","0","28","23.138","0.848","14.76","35.3567","7","2","20"
"1098","1417","7","2","246865","20","102.108","273.649","14.76","35.3567","23.138","0","0","0","0","28","0.848","273.649","0","28","23.138","0.848","14.76","35.3567","7","2","20"
"1099","1417","7","2","281929","20","102.108","273.649","14.76","35.3567","23.138","0","0","0","0","28","0.848","273.649","0","28","23.138","0.848","14.76","35.3567","7","2","20"
"1100","1417","7","2","316993","20","102.108","273.649","14.76","35.3567","23.138","0","0","0","0","28","0.848","273.649","0","28","23.138","0.848","14.76","35.3567","7","2","20"
"1101","1417","7","6","1417","20","21.8987","58.688","14.76","35.3567","23.138","0","0","0","0","28","0.848","58.688","0","28","23.138","0.848","14.76","35.3567","7","0","20"
"1102","1417","7","6","36481","20","21.8987","58.688","14.76","35.3567","23.138","0","0","0","0","28","0.848","58.688","0","28","23.138","0.848","14.76","35.3567","7","0","20"
"1103","1417","7","6","71545","20","21.8987","58.688","14.76","35.3567","23.138","0","0","0","0","28","0.848","58.688","0","28","23.138","0.848","14.76","35.3567","7","0","20"
"1104","1417","7","6","106609","20","21.8987","58.688","14.76","35.3567","23.138","0","0","0","0","28","0.848","58.688","0","28","23.138","0.848","14.76","35.3567","7","0","20"
"1105","1417","7","6","141673","20","21.8987","58.688","14.76","35.3567","23.138","0","0","0","0","28","0.848","58.688","0","28","23.138","0.848","14.76","35.3567","7","0","20"
"1106","1417","7","6","176737","20","21.8987","58.688","14.76","35.3567","23.138","0","0","0","0","28","0.848","58.688","0","28","23.138","0.848","14.76","35.3567","7","0","20"
"1107","1417","7","6","211801","20","21.8987","58.688","14.76","35.3567","23.138","0","0","0","0","28","0.848","58.688","0","28","23.138","0.848","14.76","35.3567","7","0","20"
"1108","1417","7","6","246865","20","21.8987","58.688","14.76","35.3567","23.138","0","0","0","0","28","0.848","58.688","0","28","23.138","0.848","14.76","35.3567","7","0","20"
"1109","1417","7","6","281929","20","21.8987","58.688","14.76","35.3567","23.138","0","0","0","0","28","0.848","58.688","0","28","23.138","0.848","14.76","35.3567","7","0","20"
"1110","1417","7","6","316993","20","21.8987","58.688","14.76","35.3567","23.138","0","0","0","0","28","0.848","58.688","0","28","23.138","0.848","14.76","35.3567","7","0","20"
"1111","1417","7","3","1417","20","48.8667","2.443","14.76","35.3567","23.138","0","0","0","0","28","0.848","2.443","0","28","23.138","0.848","14.76","35.3567","7","3","20"
"1112","1417","7","3","36481","20","48.8667","2.443","14.76","35.3567","23.138","0","0","0","0","28","0.848","2.443","0","28","23.138","0.848","14.76","35.3567","7","3","20"
"1113","1417","7","3","71545","20","48.8667","2.443","14.76","35.3567","23.138","0","0","0","0","28","0.848","2.443","0","28","23.138","0.848","14.76","35.3567","7","3","20"
