"fact_mob_sk","time_sk","zone_sk","line_sk","mode_sk","event_sk","stop_sk","weather_sk","annule","charge_estimee","vitesse_kmh","temps_trajet_min","congestion_index","stress_1_5","satisfaction_1_5","bak_vitesse_kmh","bak_temps_trajet_min","bak_stress_1_5","bak_weather_sk"
"1318","12752","4","7","5",NULL,"17",NULL,"0","80","27.65","22.39","3","4","3","1963","22.39","4","0"
"1319","28593","10","1","3",NULL,"77",NULL,"0","43","32.03","17.95","2","4","3","32.03","1295","4","0"
"1320","11389","9","12","3",NULL,"63",NULL,"0","52","30.88","17.95","2","3","2","30.88","1977","3","0"
"1321","33469","7","3","2",NULL,"127",NULL,"0","61","27.65","17.95","2",NULL,"3","2598","2052","0","0"
"1322","10532","5","14","3",NULL,"32",NULL,"0","40","35.48","12.56","1","2","2","35.48","12.56","2","0"
"1323","26979","2","1","2",NULL,"53",NULL,"0","44","18.77","17.95","3","2","3","18.77","1726","2","0"
"1324","6021","1","15","5",NULL,"66",NULL,"0","69","27.65","500","3","3","2","2429","-500","3","0"
"1325","6681","5","3","3",NULL,"162",NULL,"0","37","27.65","33.11","9","1","3","3100","33.11","1","0"
"1326","5166","7","12","3",NULL,"136",NULL,"0","37","24.22","17.95","3","2","3","24.22","2914","2","0"
"1327","385","1","11","3",NULL,"112","385","0","38","47.21","17.95","1","3","2","47.21","982","3","385"
"1328","9921","2","15","1",NULL,"29",NULL,"0","56","28.88","17.95","2","3","3","28.88","2126","3","0"
"1329","12120","2","12","1",NULL,"5",NULL,"0","48","30.64","17.95","2","2","2","30.64","1308","2","0"
"1330","8869","1","5","4",NULL,"86",NULL,"0","0","27.23","22.4","2","1","2","27.23","22.4","1","0"
"1331","11415","1","5","1",NULL,"111",NULL,"0","47","27.65","17.87","4","4","2","1252","17.87","4","0"
"1332","13127","4","3","3",NULL,"15",NULL,"0","45","25.7","17.95","2","1","2","25.7","1747","1","0"
"1333","31418","6","15","3",NULL,"142",NULL,"0","90","27.65","17.95","2","3","4","2885","1389","3","0"
"1334","33819","9","8","2",NULL,"69",NULL,"0","0","24.69","9.53","3","3","3","24.69","9.53","3","0"
"1335","10179","8","12","1",NULL,"155",NULL,"0","55","27.52","17.95","2","2","4","27.52","1666","2","0"
"1336","5131","4","4","3",NULL,"54",NULL,"0","62","20.72","17.95","3","2","1","20.72","1330","2","0"
"1337","8824","5","12","3",NULL,"95",NULL,"0","30","22.71","17.95","3","2","3","22.71","1743","2","0"
"1338","24898","6","9","3",NULL,"3",NULL,"0","31","32.63","23.66","2","1","2","32.63","23.66","1","0"
"1339","20657","2","1","2",NULL,"72",NULL,"0","48","37.44","17.95","1","3","1","37.44","1056","3","0"
"1340","24678","1","5","2",NULL,"86",NULL,"0","50","35.73","11.29","1",NULL,"4","35.73","11.29","0","0"
"1341","5608","7","3","3",NULL,"17",NULL,"0","30","28.59","21.84","2","2","1","28.59","21.84","2","0"
"1342","25295","9","11","3",NULL,"144",NULL,"0","58","30.77","11.47","2","1","2","30.77","11.47","1","0"
"1343","25295","10","11","2",NULL,"144",NULL,"0","58","34.86","16.42","2","2","3","34.86","16.42","2","0"
"1344","3325","1","3","2",NULL,"24",NULL,"0","15","31.48","26.25","2","5","2","31.48","26.25","5","0"
"1345","19692","9","10","2",NULL,"14",NULL,"0","51","27.65","17.95","2","4","1","3299","1837","4","0"
"1346","6451","10","14","1",NULL,"179",NULL,"0","46","31.3","17.18","2","4","2","31.3","17.18","4","0"
"1347","6223","4","8","2",NULL,"125",NULL,"0","68","27.65","17.95","1","2","3","5126","2209","2","0"
"1348","32489","5","5","4",NULL,"90",NULL,"0","55","29.16","21.14","2","2","1","29.16","21.14","2","0"
"1349","5313","6","5","2",NULL,"60",NULL,"0","38","27.65","17.95","2","3","5","3295","1198","3","0"
"1350","5313","8","5","4",NULL,"60",NULL,"0","38","37.4","17.27","1","1","3","37.4","17.27","1","0"
"1351","33869","8","3","5",NULL,"119",NULL,"0","37","30.69","17.95","2","2","3","30.69","1532","2","0"
"1352","12732","4","12","1",NULL,"39",NULL,"0","48","21.32","17.95","3","2","3","21.32","1166","2","0"
"1353","30995","5","4","5",NULL,"145",NULL,"0","52","35.25","17.95","1","1","2","35.25","2033","1","0"
"1354","23753","5","15","3",NULL,"12",NULL,"0","22","23.6","17.95","3","1","4","23.6","2407","1","0"
"1355","12863","10","3","3",NULL,"65",NULL,"0","32","31.74","17.95","2","2","4","31.74","2967","2","0"
"1356","1831","1","15","5",NULL,"38",NULL,"0","48","27.65","17.95","1","2","3","3936","1914","2","0"
"1357","15544","8","11","5",NULL,"91",NULL,"0","50","40.62","14.3","1","2","4","40.62","14.3","2","0"
"1358","26704","7","2","5",NULL,"166",NULL,"0","0","27.65","12.71","3","1","2","1717","12.71","1","0"
"1359","26704","4","2","1",NULL,"166",NULL,"0","0","25.43","10.46","2",NULL,"4","25.43","10.46","0","0"
"1360","2459","1","15","3",NULL,"1",NULL,"0","75","19.79","14.53","3","3","3","19.79","14.53","3","0"
"1361","18310","8","2","3",NULL,"128",NULL,"0","47","27.16","17.95","2","4","2","27.16","1322","4","0"
"1362","13576","3","2","3",NULL,"70",NULL,"0","26","27.47","17.95","2","3","3","27.47","2251","3","0"
"1363","21721","5","12","3",NULL,"35","302233","0","48","19.71","19.95","3",NULL,"3","19.71","19.95","0","302233"
"1364","570","10","15","3",NULL,"175",NULL,"0","60","28.34","13.97","2","4","3","28.34","13.97","4","0"
"1365","27966","6","5","1",NULL,"12",NULL,"0","27","26.27","17.42","2","2","2","26.27","17.42","2","0"
"1366","25436","4","8","2",NULL,"13",NULL,"0","49","37.27","16.82","1","4","2","37.27","16.82","4","0"
"1367","12312","6","4","1",NULL,"17",NULL,"0","64","24.99","17.95","3","2","3","24.99","1506","2","0"
"1368","19990","10","12","3",NULL,"122",NULL,"0","34","33.74","9.76","2","3","2","33.74","9.76","3","0"
"1369","24083","10","1","2",NULL,"150",NULL,"0","26","28.27","17.95","2","4","2","28.27","1723","4","0"
"1370","5751","7","4","5",NULL,"33",NULL,"0","52","27.65","17.95","2","1","2","3217","2010","1","0"
"1371","31055","5","1","5",NULL,"125",NULL,"0","59","41.48","15.11","1","4","3","41.48","15.11","4","0"
"1372","24422","8","14","2",NULL,"155",NULL,"0","56","14.28","17.95","4","3","3","14.28","1871","3","0"
"1373","30518","1","8","3",NULL,"133",NULL,"0","52","27.65","17.95","2","4","2","2975","1512","4","0"
"1374","19894","3","1","1",NULL,"172",NULL,"0","54","18.58","18.1","3","2","3","18.58","18.1","2","0"
"1375","19961","1","11","1",NULL,"80",NULL,"0","46","27.65","17.95","3","1","2","1984","2851","1","0"
"1376","27520","7","7","4",NULL,"5",NULL,"0","39","27.65","21.76","2","3","1","2861","21.76","3","0"
"1377","15208","2","15","1",NULL,"165",NULL,"0","78","27.65","17.95","2","2","1","2940","3187","2","0"
"1378","19961","1","7","1",NULL,"145",NULL,"0","63","27.65","17.95","3","1","2","1984","2851","1","0"
"1379","9005","1","15","2",NULL,"6",NULL,"0","47","22.98","17.95","3","3","2","22.98","1405","3","0"
"1380","1497","8","8","2",NULL,"126",NULL,"0","14","27.65","19.45","3","3","1","2333","19.45","3","0"
"1381","25145","6","5","2",NULL,"166",NULL,"0","8","27.65","16.58","1","3","2","3754","16.58","3","0"
"1382","17842","3","12","3",NULL,"147",NULL,"0","83","38.04","17.95","1","3","1","38.04","1226","3","0"
"1383","16310","5","1","3",NULL,"101",NULL,"0","41","27.65","17.95","2","2","3","3057","1219","2","0"
"1384","16310","4","1","5",NULL,"101",NULL,"0","41","17.06","20.27","3","3","4","17.06","20.27","3","0"
"1385","24114","10","5","2",NULL,"54",NULL,"0","9","35.73","16.62","1",NULL,"2","35.73","16.62","0","0"
"1386","26670","10","5","2",NULL,"179",NULL,"0","52","23.51","13.96","3","2","4","23.51","13.96","2","0"
"1387","5504","6","8","1",NULL,"162",NULL,"0","22","31.83","17.95","9","3","2","31.83","1168","3","0"
"1388","4993","9","7","3",NULL,"4","145249","0","52","27.65","10.5","2","2","3","2612","10.5","2","145249"
"1389","20569","1","10","3",NULL,"101","20569","0","9","27.65","24.98","3","4","1","2173","24.98","4","20569"
"1390","16097","3","11","3",NULL,"90",NULL,"0","27","27.65","17.95","2","2","2","2621","2055","2","0"
"1391","5757","3","8","1",NULL,"139",NULL,"0","40","29.48","17.95","2","2","2","29.48","1902","2","0"
"1392","25610","9","13","5",NULL,"149",NULL,"0","51","27.65","13.38","1",NULL,"2","3546","13.38","0","0"
"1393","24658","7","11","4",NULL,"89",NULL,"0","19","36.41","15.05","1","2","2","36.41","15.05","2","0"
"1394","14339","7","12","3",NULL,"167",NULL,"0","44","27.65","17.95","1","3","1","3517","1394","3","0"
"1395","17328","8","8","3",NULL,"139",NULL,"0","40","27.65","15.54","3","2","2","2092","15.54","2","0"
"1396","18038","1","4","2",NULL,"141",NULL,"0","65","35.21","14.04","1","1","3","35.21","14.04","1","0"
"1397","17087","5","3","3",NULL,"142",NULL,"0","50","27.65","17.95","2","1","1","3033","2202","1","0"
"1398","17087","8","3","1",NULL,"142",NULL,"0","50","22.22","18.08","3","2","4","22.22","18.08","2","0"
"1399","6918","4","3","3",NULL,"148",NULL,"0","17","27.65","17.95","3","4","4","1648","2076","4","0"
"1400","18535","10","8","3",NULL,"6",NULL,"0","65","27.65","17.95","2",NULL,"1","3000","1858","0","0"
"1401","19381","5","8","1",NULL,"30",NULL,"0","36","24.86","17.95","3","1","4","24.86","2166","1","0"
"1402","2924","10","15","3",NULL,"99",NULL,"0","60","27.65","17.95","4","3","1","1070","2166","3","0"
"1403","30430","10","11","2",NULL,"134",NULL,"0","33","26.91","23.2","2","1","3","26.91","23.2","1","0"
"1404","4617","4","10","4",NULL,"16",NULL,"0","81","27.65","17.95","4","2","2","1096","3379","2","0"
"1405","25853","1","1","1",NULL,"90",NULL,"0","67","27.65","14.18","1","1","1","4167","14.18","1","0"
"1406","23405","3","7","1",NULL,"90",NULL,"0","67","4.15","16.01","5","3","3","4.15","16.01","3","0"
"1407","7313","4","11","2",NULL,"133",NULL,"0","31","6.5","17.95","4","2","1","6.5","1907","2","0"
"1408","3993","1","10","3",NULL,"27",NULL,"0","47","15.62","17.95","3","1","1","15.62","2581","1","0"
"1409","7060","2","13","2",NULL,"102",NULL,"0","55","33.32","17.95","2","2","3","33.32","846","2","0"
"1410","10680","9","14","1",NULL,"35",NULL,"0","56","27.65","18.49","4","1","3","803","18.49","1","0"
"1411","10709","9","8","4",NULL,"82",NULL,"0","45","43.09","17.95","1","3","1","43.09","950","3","0"
"1412","27800","7","8","3",NULL,"25",NULL,"0","56","27.65","20.75","3","1","4","2488","20.75","1","0"
"1413","7270","8","5","2",NULL,"44",NULL,"0","70","27.11","14.24","2","2","2","27.11","14.24","2","0"
"1414","11191","10","5","3",NULL,"59",NULL,"0","47","27.65","18.16","2",NULL,"1","3067","18.16","0","0"
"1415","26759","8","5","4",NULL,"22",NULL,"0","59","27.48","12.25","2","1","3","27.48","12.25","1","0"
"1416","23699","6","4","4",NULL,"141",NULL,"0","60","27.65","16.85","2","2","1","2573","16.85","2","0"
"1417","33832","9","1","1",NULL,"13",NULL,"0","59","27.65","26.6","2","4","3","3305","26.6","4","0"
"1418","316","8","8","2",NULL,"57",NULL,"0","30","27.65","17.95","4","2","2","1342","2954","2","0"
"1419","23486","3","2","2",NULL,"121",NULL,"0","32","27.65","17.95","3","2","3","2368","1845","2","0"
"1420","23486","7","2","3",NULL,"121",NULL,"0","32","45.82","17.2","1","2","3","45.82","17.2","2","0"
"1421","28822","5","10","3",NULL,"58",NULL,"0","31","28.23","10.47","2","1","1","28.23","10.47","1","0"
"1422","1069","2","5","2",NULL,"132",NULL,"0","47","27.65","17.74","3","2","3","1526","17.74","2","0"
"1423","3444","4","15","4",NULL,"68",NULL,"0","13","27.65","17.53","2","3","3","3314","17.53","3","0"
"1424","14274","10","1","2",NULL,"55",NULL,"0","24","25.04","17.95","2","2","2","25.04","2455","2","0"
"1425","26798","2","3","2",NULL,"152",NULL,"0","51","27.65","17.95","1","2","2","4150","2916","2","0"
"1426","9869","1","5","3",NULL,"79",NULL,"0","39","27.65","12.96","2","3","3","2526","12.96","3","0"
"1427","3293","3","7","5",NULL,"156",NULL,"0","45","20.18","17.95","3","2","1","20.18","1378","2","0"
"1428","3467","6","11","5",NULL,"112",NULL,"0","28","23.39","17.95","3","2","3","23.39","1279","2","0"
"1429","31430","1","1","3",NULL,"21",NULL,"0","42","27.65","20.23","2","5","3","3088","20.23","5","0"
"1430","3273","4","5","5",NULL,"176",NULL,"0","68","12.83","14.4","4","1","4","12.83","14.4","1","0"
"1431","2197","1","1","1",NULL,"114",NULL,"0","13","17.02","17.95","3","2","3","17.02","2493","2","0"
"1432","20750","2","15","5",NULL,"36",NULL,"0","24","27.65","13.97","2","3","1","3075","13.97","3","0"
"1433","23455","4","8","2",NULL,"139",NULL,"1","56","36.34","17.95","1","4","3","36.34","1406","4","0"
"1434","611","3","5","4",NULL,"67",NULL,"0","77","27.65","17.95","3","2","4","2426","1799","2","0"
"1435","16350","9","3","1",NULL,"135",NULL,"0","26","32.58","19.18","2","2","2","32.58","19.18","2","0"
"1436","5743","3","12","2",NULL,"151",NULL,"0","76","27.65","17.95","2","2","2","3143","2356","2","0"
"1437","21721","5","5","3",NULL,"66","302233","0","76","19.71","19.95","3",NULL,"3","19.71","19.95","0","302233"
"1438","19238","6","14","5",NULL,"38",NULL,"0","47","27.65","17.95","1","3","2","3738","1928","3","0"
"1439","4007","8","8","1",NULL,"72",NULL,"0","53","27.65","17.95","2","4","2","3295","1611","4","0"
"1440","34338","1","5","1",NULL,"161",NULL,"0","69","38.93","17.95","1","3","2","38.93","1543","3","0"
"1441","26385","5","7","1",NULL,"90",NULL,"0","17","27.65","17.95","1","3","3","99900","2500","3","0"
"1442","21167","1","2","1",NULL,"5",NULL,"0","20","39.48","17.95","1","3","2","39.48","1703","3","0"
"1443","14180","8","12","5",NULL,"14",NULL,"0","0","27.65","17.95","2","1","3","3370","2289","1","0"
"1444","32183","1","10","3",NULL,"102",NULL,"0","47","32.22","17.95","2","3","4","32.22","1886","3","0"
"1445","9278","7","11","4",NULL,"32",NULL,"0","56","21.78","25.2","3","3","3","21.78","25.2","3","0"
"1446","11482","10","2","1",NULL,"171",NULL,"0","51","27.65","11.62","4","2","1","1065","11.62","2","0"
"1447","13223","5","10","2",NULL,"159",NULL,"0","28","14.73","22.26","4","2","4","14.73","22.26","2","0"
"1448","7905","4","4","1",NULL,"14",NULL,"0","44","27.65","15.34","4","1","3","914","15.34","1","0"
"1449","1962","4","9","2",NULL,"148",NULL,"0","20","27.65","17.95","2","3","1","2695","1058","3","0"
"1450","26854","4","2","2",NULL,"80",NULL,"0","23","27.65","17.95","3","4","3","1723","1971","4","0"
"1451","33565","10","14","5",NULL,"56",NULL,"0","38","27.65","203","1","1","2","3877","203","1","0"
"1452","1629","3","11","3",NULL,"80",NULL,"0","17","30.37","21.37","2","3","2","30.37","21.37","3","0"
"1453","17946","5","11","4",NULL,"86",NULL,"0","45","38.15","17.95","1","1","3","38.15","2282","1","0"
"1454","13846","3","12","4",NULL,"161",NULL,"0","34","27.65","14.75","2","2","1","3142","14.75","2","0"
"1455","12774","2","11","5",NULL,"60",NULL,"0","44","46.02","11.42","1","3","3","46.02","11.42","3","0"
"1456","9291","10","5","2",NULL,"32",NULL,"0","78","27.19","17.95","2","2","2","27.19","1326","2","0"
"1457","15409","10","7","2",NULL,"58","225793","0","25","45.28","18.25","1","3","2","45.28","18.25","3","225793"
"1458","33730","8","4","4",NULL,"154",NULL,"0","41","19.09","17.95","3","4","4","19.09","2174","4","0"
"1459","18701","10","3","4",NULL,"98",NULL,"0","67","34.3","19.98","2",NULL,"2","34.3","19.98","0","0"
"1460","18701","9","3","2",NULL,"98",NULL,"0","67","23.52","17.95","3","2","1","23.52","2025","2","0"
"1461","34448","4","14","1",NULL,"133",NULL,"0","18","27.65","17.95","3","2","1","2110","1443","2","0"
"1462","26704","7","14","5",NULL,"55",NULL,"0","50","27.65","12.71","3","1","2","1717","12.71","1","0"
"1463","26704","4","14","1",NULL,"55",NULL,"0","50","25.43","10.46","2",NULL,"4","25.43","10.46","0","0"
"1464","33894","9","11","1",NULL,"42",NULL,"0","4","27.65","17.48","3","2","2","1975","17.48","2","0"
"1465","22808","10","3","5",NULL,"74",NULL,"0","43","27.65","18.02","1","3","2","3744","18.02","3","0"
"1466","22786","5","5","2",NULL,"28",NULL,"0","46","27.65","8.74","2","2","2","3009","8.74","2","0"
"1467","13542","9","5","2",NULL,"48",NULL,"0","45","33.97","17.95","2","4","3","33.97","1346","4","0"
"1468","500","4","11","3",NULL,"106",NULL,"0","50","27.26","16.94","2","3","2","27.26","16.94","3","0"
"1469","28896","6","7","2",NULL,"131",NULL,"0","44","27.65","17.95","3","2","4","1556","2605","2","0"
"1470","11146","5","10","2",NULL,"28",NULL,"0","58","22.78","17.95","3","4","3","22.78","2918","4","0"
"1471","11146","6","10","2",NULL,"28",NULL,"0","58","27.65","20.29","2","2","4","2755","20.29","2","0"
"1472","3993","1","5","3",NULL,"77",NULL,"0","49","15.62","17.95","3","1","1","15.62","2581","1","0"
"1473","1965","3","3","2",NULL,"79",NULL,"0","57","27.65","17.95","1","1","1","3648","2080","1","0"
"1474","26001","6","13","4",NULL,"34",NULL,"0","32","17.68","26.64","3","3","3","17.68","26.64","3","0"
"1475","1853","2","11","4",NULL,"136",NULL,"0","42","27.65","17.95","2","3","2","3156","1098","3","0"
"1476","22464","7","5","3",NULL,"138",NULL,"0","20","44.11","145","1","2","3","44.11","145","2","0"
"1477","33062","7","3","3",NULL,"171",NULL,"0","57","27.65","17.95","3","3","3","1628","2381","3","0"
"1478","15561","3","13","3",NULL,"24",NULL,"0","81","33.7","17.95","2","3","3","33.7","2047","3","0"
"1479","13718","2","15","5",NULL,"5",NULL,"0","21","27.65","17.09","3","2","4","1922","17.09","2","0"
"1480","14060","5","5","3",NULL,"24",NULL,"0","49","27.65","9.46","2","3","3","2569","9.46","3","0"
"1481","17075","9","5","2",NULL,"94",NULL,"0","46","27.24","17.95","2","2","4","27.24","1336","2","0"
"1482","30968","10","10","3",NULL,"67",NULL,"0","67","16.3","19.29","3","3","2","16.3","19.29","3","0"
"1483","21147","10","9","5",NULL,"16",NULL,"0","42","27.65","17.95","2","4","2","3116","1798","4","0"
"1484","5907","3","5","2",NULL,"106",NULL,"0","28","41.97","12.51","1","4","3","41.97","12.51","4","0"
"1485","10179","8","12","1",NULL,"133",NULL,"0","56","27.52","17.95","2","2","4","27.52","1666","2","0"
"1486","556","3","10","2",NULL,"168",NULL,"0","79","7.55","17.95","4","3","4","7.55","2034","3","0"
"1487","32607","5","4","2",NULL,"82",NULL,"0","26","25.6","17.95","2","4","4","25.6","1747","4","0"
"1488","8887","10","2","3",NULL,"54",NULL,"0","70","33.16","17.95","2","1","3","33.16","1971","1","0"
"1489","11064","8","1","3",NULL,"154",NULL,"0","61","39.18","17.95","1","1","2","39.18","2194","1","0"
"1490","8710","6","14","2",NULL,"8",NULL,"0","76","27.65","17.95","2","4","2","2556","1333","4","0"
"1491","4499","1","12","5",NULL,"45",NULL,"0","11","11.17","17.95","4","2","1","11.17","2089","2","0"
"1492","20617","1","2","1",NULL,"4","20617","0","19","19.93","17.95","3","3","2","19.93","938","3","20617"
"1493","32094","7","3","1",NULL,"130",NULL,"0","14","27.65","17.95","1","2","3","4440","2233","2","0"
"1494","30701","3","2","3",NULL,"53",NULL,"0","70","34.13","17.95","2","2","1","34.13","752","2","0"
"1495","30430","10","9","2",NULL,"55",NULL,"0","57","26.91","23.2","2","1","3","26.91","23.2","1","0"
"1496","6788","4","9","3",NULL,"26",NULL,"0","49","27.65","24.33","4","4","2","1352","24.33","4","0"
"1497","6788","3","9","2",NULL,"26",NULL,"0","49","27.65","17.95","1","4","2","3520","2141","4","0"
"1498","22064","6","5","2",NULL,"40",NULL,"0","32","27.65","24.83","1","2","1","3839","24.83","2","0"
"1499","13762","2","13","3",NULL,"162",NULL,"0","99","28.01","17.95","2",NULL,"3","28.01","1553","0","0"
"1500","19472","8","2","4",NULL,"38",NULL,"0","34","34.06","17.95","2","2","3","34.06","2296","2","0"
"1501","29900","6","2","1",NULL,"161",NULL,"0","80","25.12","17.95","2","3","1","25.12","1161","3","0"
"1502","17300","8","5","4",NULL,"180",NULL,"0","38","55.61","22.03","1","3","1","55.61","22.03","3","0"
"1503","28896","6","11","2",NULL,"76",NULL,"0","47","27.65","17.95","3","2","4","1556","2605","2","0"
"1504","19329","3","10","2",NULL,"105",NULL,"0","58","27.65","21.6","3","2","5","2259","21.6","2","0"
"1505","11477","10","8","2",NULL,"16",NULL,"0","72","23.96","17.95","3","3","4","23.96","2015","3","0"
"1506","21356","8","9","2",NULL,"15",NULL,"0","7","40.59","10.79","1","2","1","40.59","10.79","2","0"
"1507","31618","10","1","5",NULL,"153",NULL,"0","90","41.31","16.4","1","1","2","41.31","16.4","1","0"
"1508","32602","3","8","2",NULL,"17",NULL,"0","49","23.7","17.95","3","1","1","23.7","1831","1","0"
"1509","8591","2","11","2",NULL,"161",NULL,"0","73","16.35","19.03","3",NULL,"1","16.35","19.03","0","0"
"1510","13762","2","5","3",NULL,"104",NULL,"0","35","28.01","17.95","2",NULL,"3","28.01","1553","0","0"
"1511","2126","3","8","3",NULL,"177",NULL,"0","44","14.21","17.95","4","3","5","14.21","1309","3","0"
"1512","10539","4","14","3",NULL,"87",NULL,"0","68","27.65","22.68","2","2","3","3007","22.68","2","0"
"1513","26505","8","13","2",NULL,"10",NULL,"0","70","43.23","14.86","1","2","2","43.23","14.86","2","0"
"1514","25573","7","5","5",NULL,"58",NULL,"0","53","27.65","17.95","2","3","2","3345","1819","3","0"
"1515","11415","1","10","1",NULL,"77",NULL,"0","35","27.65","17.87","4","4","2","1252","17.87","4","0"
"1516","18942","6","7","5",NULL,"113",NULL,"0","40","31.81","17.95","2","2","3","31.81","1994","2","0"
"1517","31598","9","12","4",NULL,"151",NULL,"0","49","27.65","23.55","4","3","4","708","23.55","3","0"
"1518","1495","8","5","2",NULL,"57",NULL,"0","28","27.65","21.18","2","4","4","3247","21.18","4","0"
"1519","14527","7","5","1",NULL,"46",NULL,"0","58","40.97","17.95","1","3","4","40.97","2089","3","0"
"1520","8852","1","5","2",NULL,"40",NULL,"0","30","27.65","23.56","2","3","2","99900","23.56","3","0"
"1521","33469","7","8","2",NULL,"60",NULL,"0","75","27.65","17.95","2",NULL,"3","2598","2052","0","0"
"1522","31952","4","7","2",NULL,"31",NULL,"0","42","27.65","17.32","4","2","1","1380","17.32","2","0"
"1523","33836","7","10","2",NULL,"33",NULL,"0","0","27.65","17.95","2","3","2","2791","1800","3","0"
"1524","4460","7","1","5",NULL,"86",NULL,"0","82","27.65","17.95","3","1","2","1588","1376","1","0"
"1525","34845","6","4","3",NULL,"180",NULL,"0","31","27.65","17.95","1","1","2","4595","1545","1","0"
"1526","14042","6","8","4",NULL,"5",NULL,"0","7","27.65","21.52","2","2","2","3253","21.52","2","0"
"1527","15208","2","12","1",NULL,"63",NULL,"0","44","27.65","17.95","2","2","1","2940","3187","2","0"
"1528","20909","4","3","1",NULL,"67",NULL,"0","75","11.71","17.95","4","1","3","11.71","1254","1","0"
"1529","20244","1","8","3",NULL,"69",NULL,"0","35","8.83","20.3","4","2","2","8.83","20.3","2","0"
"1530","29492","8","7","1",NULL,"87",NULL,"0","38","27.65","17.95","4","3","4","1077","1538","3","0"
"1531","3654","3","14","5",NULL,"71",NULL,"0","86","39.26","15.76","1",NULL,"2","39.26","15.76","0","0"
"1532","31417","8","3","5",NULL,"1","276865","0","55","28.28","17.95","2","1","3","28.28","1471","1","276865"
"1533","23325","3","1","3",NULL,"120",NULL,"0","54","27.65","10.35","4","3","3","1387","10.35","3","0"
"1534","13208","4","13","5",NULL,"179",NULL,"0","46","33.76","5.38","2","3","4","33.76","5.38","3","0"
"1535","13208","6","13","4",NULL,"179",NULL,"0","46","27.65","17.95","1","1","4","3846","1570","1","0"
"1536","1268","3","12","1",NULL,"53",NULL,"0","53","16.56","17.95","3","2","2","16.56","2314","2","0"
"1537","17018","3","7","2",NULL,"77",NULL,"0","51","27.65","13.64","2","3","2","3451","13.64","3","0"
"1538","9861","2","5","5",NULL,"17",NULL,"0","47","27.65","22.92","3","2","2","1751","22.92","2","0"
"1539","2959","10","3","2",NULL,"18",NULL,"0","5","18.8","12.7","3","3","3","18.8","12.7","3","0"
"1540","24846","5","8","1",NULL,"27",NULL,"0","57","27.57","17.95","2","3","3","27.57","1854","3","0"
"1541","1242","9","15","1",NULL,"51",NULL,"0","20","23.23","20.21","3","3","3","23.23","20.21","3","0"
"1542","5501","3","4","1",NULL,"144",NULL,"0","61","40.89","17.95","1","3","2","40.89","1137","3","0"
"1543","4419","4","5","4",NULL,"157",NULL,"0","63","27.65","17.95","2","1","3","3025","1999","1","0"
"1544","27828","4","9","1",NULL,"83",NULL,"0","39","27.65","27.77","2","3","1","2735","27.77","3","0"
"1545","8292","3","15","1",NULL,"91",NULL,"0","55","27.65","22.58","1",NULL,"3","4535","22.58","0","0"
"1546","13086","6","12","2",NULL,"41",NULL,"0","26","40.68","21.55","1","4","1","40.68","21.55","4","0"
"1547","33850","5","12","3",NULL,"48",NULL,"0","0","27.65","31.49","2","1","3","2817","31.49","1","0"
"1548","28883","5","8","5",NULL,"163",NULL,"0","33","27.65","17.95","1","3","4","3962","2635","3","0"
"1549","17018","3","9","2",NULL,"45",NULL,"0","47","27.65","13.64","2","3","2","3451","13.64","3","0"
"1550","1184","1","5","1",NULL,"58",NULL,"0","67","27.65","22.55","2","3","3","2707","22.55","3","0"
"1551","30060","7","11","2",NULL,"79",NULL,"0","40","15.92","17.95","3","4","1","15.92","1984","4","0"
"1552","31418","6","15","3",NULL,"75",NULL,"0","80","27.65","17.95","2","3","4","2885","1389","3","0"
"1553","14612","6","11","1",NULL,"103",NULL,"0","57","5.89","18.27","4","1","4","5.89","18.27","1","0"
"1554","4331","8","1","2",NULL,"161",NULL,"0","35","32.08","17.95","2","3","1","32.08","1963","3","0"
"1555","32169","1","5","3",NULL,"101",NULL,"0","30","17.87","17.95","3","1","4","17.87","2978","1","0"
"1556","1118","6","13","3",NULL,"114",NULL,"0","9","27.65","13.63","2","2","3","2826","13.63","2","0"
"1557","13576","3","14","3",NULL,"138",NULL,"0","45","27.47","17.95","2","3","3","27.47","2251","3","0"
"1558","1478","7","5","2",NULL,"19",NULL,"0","39","27.65","19.49","3","4","1","2140","19.49","4","0"
"1559","31057","9","8","2",NULL,"168","171313","0","20","32.8","16.3","2","2","2","32.8","16.3","2","171313"
"1560","14496","1","3","2",NULL,"143",NULL,"0","15","27.65","4.54","1","4","3","5611","4.54","4","0"
"1561","18959","8","10","2",NULL,"77",NULL,"0","55","19.06","500","3","2","2","19.06","-500","2","0"
"1562","521","3","3","2",NULL,"167",NULL,"0","46","39.26","14.11","1","2","2","39.26","14.11","2","0"
"1563","16879","5","3","2",NULL,"13",NULL,"0","17","27.65","12.75","2","2","1","2703","12.75","2","0"
"1564","2686","9","11","3",NULL,"166",NULL,"0","0","27.65","9.98","1","2","4","3964","9.98","2","0"
"1565","10965","1","2","3",NULL,"149",NULL,"0","81","43.89","24.2","1","2","1","43.89","24.2","2","0"
"1566","16218","1","14","1",NULL,"104",NULL,"0","14","27.65","17.62","2","3","3","3046","17.62","3","0"
"1567","7169","8","2","2",NULL,"18",NULL,"0","65","27.65","17.95","9","4","3","2796","1521","4","0"
"1568","30201","5","12","3",NULL,"83",NULL,"0","11","27.65","24.57","3","3","5","1965","24.57","3","0"
